arabic,english
nql,move, transport, pass on information
Tb3,nature
qrb,near
hyd,neutrality
jdd,new
khbr,news
SHf,newspapers
lyl,night
3Zm,nobility
3dm,not
shhr,notoriety
rqm,number
3dd,number of
rSd,observation
HSl,obtain
HSl,obtain + 3alaa
sh gh l,occupy, preoccupy
nfT,oil
shykh,old
ftH,open
*mr,order
Tlb,order
nzm,organise
khry,others
khrj,out
kyd,outwit
shrf,oversee
TyH,overthrew
wj3,pain
jz3,part 
Trf,parties
Hzb,party
Trf,party
mrr,pass
mrr,pass by + bi
nql,pass on information, move, transport
jtz,passed
mhr,pave, smooth, flatten
df3,pay
df3,pay?
SlH,peace
ghwr,penetrate deeply
*hl,people
sh3b,people
*d3,performance
Hqb,periods
d*m,permanent
smH,permit someone to + li + bi
d*b,perserverance
shkhS,person
Swr,picture
thqb,pierce
khT T,plans
zr3,plant, cultivate
zr3,planting
l3b,play
l3b,play
3zf,play (instrument)
3hd,pledged
sh3r,poetry?
sys,politicise
fkr,ponder
mn3,port
sbq,precede
3jl,precipitate
jdr,predestination
mn3,prevent
mn3,prevent
Tb3,print
sjn,prison
Sdr,proceed
tqd,progress
HZr,prohibit
mn3,prohibit?
w3d,promise
3dt,promised
Hmy,protection 
knf,protection, patronage
brz,protrude, emerge
mwn,provision
3ln,publicly
n sh r,publish/spread
sHb,pull, withdrawal
ghrD,purpose
hsb,pursuant to
wD3,put
sr3,quicken
rf3,raise
rf3,raise
blgh,reach, attain
Slt,reached
qr*,read
qr3,read
sbb,reason
rshd,reason, rationality
mrd,rebel
dh k r,recall, mention
tlq,received
rwy,recount
khlS,redeem
qll,reduced
rfD,refuse
rfD,rejection
frH,rejoice
Sdr,released
dyn,religion
wthq,rely, trust, authenticate
bqy,remain
dhkr,remember
*jr,rent
Htl,replace
mthl,resemble
s*l,responsible for (to be)
ntj,resulted
*nf,resume
Hwr,return
r3d,return
rj3,return
3wd,return (to)
rj3,returned
*yD,revert, return
ghny,rich (be)
rkb,ride (V)
lbr,righteousness
nhD,rise
qmt ,rise
S3d,rise
jwl,roam
dwr,role
hkm,rule
sTr,rule
jrw,run  
hrb,run away
nfs,same
Hrm,sanctuary
nqdh,save 
HfZ,save, conserve, remember
qwl,say
hdth,say alt
khtm,seal
bHth,search
mqr,seat
sry,secret
qsm,section
*mn,security
bghy,seek, desire
s 3y,seek, pursue
bdw,seem
bdt,seemed
Hdd,select
nkhb,select
b3th,send
b3th,send
b3th,sent
fSl,separate
khdm,serve
nfd,shake
shm,share
Zhr,show
jnb,side
*shr,signal
Smt,silence
frd,single
3zb,single?
jls,sit
wD3,situation
lTm,slap
nHr,slaughter
nHr,slaughter
Sghr,small
khTf,snatch
ghwl,snatch, seize, take unawares
sh3r,song, poetry, motto
nshd,sought
Swt,sound, voice
3jl,speed
qDy*,spend (time)
rwH,spirit, essence
nshr,spread out
DghT,squeeze
HS*,statistics
wD3,status
*qm,stay
bqy,stay
mkth,stay
shr ,stay up late
frs,steed
drj,steps
ljn,stick to
Hrk,stir, agitate
wqf,stop
wqf,stop
khzn,store
qSS,stories
shdd,stress, emphasise
Sr3,strike
qwy,strong
jhd,struggle
drs,study
drs ,study
ghlb,subdue
njH,succeed
njH,succeed
fwz,successful (to be)
*hm,superior
zwd,supply
*yd,support
d3m,support
snd,support
qm3,suppression
HSr,surround
3lq,suspend
Hlf,swear, make an oath
rmz,symbol
*kh dh,take
*khdh,take
Tw3,tamed
Sdq,tell the truth
3shr,ten
wtr,tense
fkr,think
3rsh,throne
qdhf,throw
rmy*,throw
wqt,time
lqb,title
slm,to deliver
3ny*,to mean
thwr,to revolt
qwl,to say
tjr,trade
drb,train
shrk,trap
khd3,trickery
Srf,turn away, avert
brm,twist
nw3,type
fhm,understand
whd,united (one)
thmn,value (n)
nSr,victory
mTl,view
3nf,violence
bkr,virgin
zwr,visit
SHw ,wake up
ymsh,walk
jwl,wander
*rd,want
r*d,want
rghb,want
Hrb,war
Hdhr,warn
sbl,ways
Trq,ways
slH,weapon
lbs,wear
lbs,wear
rHb,welcome
rHm,welcome
rml,widow?
jnH,wing
Dmn,within
3jb,wonder
3ml,work
3ml,work
jrH,wound
ktb,write
ktb,write
nsh*,young people (possibly also generation, as in creation)
